评价,评分
第一次到桂林，买了联票，优点是实惠，缺点是不可以全额退，夜游毁誉参半，很纠结，到达当地后当地人说夜游没意思，芦笛岩值得一去，但是还是去了，夜游不推荐，谁去谁是大冤种，推荐定位白公馆开始步行游览，往30路公交车🚌方向走，可以看双塔，还有小吃街，乘车途中又可以看另一座塔，或者选香格里拉看塔房间，至于象鼻山，爱谁谁，喜欢夜游推荐黄浦江。 芦笛岩值得一看，首先，有讲解，有新开发的打卡地，比其它岩洞路程友好，缺点是需要等待集体出游，推荐坐小火车，少走三十年冤枉路（楼梯难爬）,4
桂林“两江四湖”，即指漓江、桃花江、木龙湖（含铁佛塘）、桂湖、榕湖、杉湖，其环城水系全长7.33公里，水面面积38.59万平方米。该工程最早形成于北宋年间（960-1127年），当时榕湖、杉湖、桂湖上舟楫纵横，游人如织，兴盛一时。桂林两江四湖构成桂林山水美景的重要组成部分,5
日月双塔上的灯光开启以后，看起来比白天更漂亮，叠彩山的灯光效果给人一种神秘的感觉，和白天相比，两江四湖的夜间景色也很不错，值得坐船逛一逛，船上工作人员的讲解很到位！,4
前面游四湖有表演，灯光这些整体也还可以，一江比较单调一点，灯光也比较暗，就感觉完全在坐船，比较有趣的是没有想到游完四湖还会上岸走过去换一条船继续游江,5
两江四湖是桂林的名片之一，坐拥桂林城最核心、最优美的环城风景线，乘船夜游更美。它有可与威尼斯媲美的环城水系，可以饱览桂林市区的精华景观，是欣赏桂林山水美景的另种方式。真实地体现了“千峰环野立，一水抱城流”的美妙景致和“城在景中，景在城中”的和谐景观。,5
桂林山水甲天下，两江四湖是代表性景点之一，可以日游，夜游则是两岸夜景尽收眼底！两江四湖穿过桂林市区，可以沿岸分段行走，也可以乘坐游船游览，各有特色！,5
体验一下还是可以哒！服务不错。价格小贵。能了解一下桂林的历史。不适合拍夜景。船上工作人员的拍照多少有点坑，慎入。解说员不错,4
19:30分从渔人码头出发，21:00从文昌桥码头下船，全程不走回头路！坐在船头可以欣赏两江四湖的夜景，非常漂亮，值得游完！,5
感觉真的不值，二百多块钱干点啥不好，非要买这个船票，河两岸也没有灯，晚上啥也看不到。唯一的看点就是路过小船时的看到的鱼鹰。真心不推荐。,1
不知道说啥，后半段差强人意,5
